질문,챗봇 답변,Ground-truth 정답 후보
URScript에서 MoveJ 명령어에 블렌드 반경을 설정하려면 어떻게 해야 하나요?,"```
robot.SetParameter(13, 반경_값)
```
반경_값은 원하는 값으로 설정하세요. 이 명령어는 자세히 설명된 것은 아니지만 블렌드 반경을 설정하는 데 사용할 수 있습니다.","URScript에서 MoveJ 명령어에 블렌드 반경(Blend Radius)을 설정하려면, movej 명령의 마지막 인자인 r 파라미터에 원하는 반경(단위: 미터)을 지정하면 됩니다. 예를 들어, 아래와 같이 사용하면 로봇이 해당 위치에서 멈추지 않고 지정한 반경(r)만큼 곡선으로 경로를 부드럽게 이어 이동합니다.

```python
movej([0.0, -1.57, 1.57, 0.0, 1.57, 0.0], a=1.2, v=0.5, t=0, r=0.05)
```

이때 r 값이 0이면 블렌드 없이 정확히 해당 위치에서 정지하며, r 값이 0보다 크면 웨이포인트를 통과할 때 속도를 0으로 만들지 않고 곡선으로 연결합니다."
URCap 개발 시 C207A0 오류는 무엇을 의미하나요?,C207A0 오류는 UR5 로봇 시뮬레이션에서 URCap을 로드하거나 실행할 때 발생할 수 있는 오류입니다. 이 오류는 대체 모듈이 허용되지 않은 패키지를 사용하여 발생할 수 있습니다. UR5 로봇 시뮬레이션 환경에서는 대체 모듈을 사용하지 않도록 하면 해결할 수 있습니다.,"URCap 개발 시 발생하는 C207A0 오류는 ""Fieldbus input disconnected(필드버스 입력 연결 해제)""를 의미합니다. 이 오류는 RTDE, Modbus, EtherNet/IP, Profinet 등 필드버스 통신이 활성화되어 있는데 실제로 해당 입력 신호가 들어오지 않거나, 여러 URCap이 RTDE 등 동일한 리소스를 중복 사용해 충돌이 발생할 때 주로 나타납니다.

실무적으로는 아래 사항을 점검해야 합니다.

설치(Installation) 탭에서 사용하지 않는 모든 필드버스(EtherNet/IP, Modbus, Profinet 등)를 비활성화하세요.

RTDE Watchdog 기능이 활성화되어 있다면, URCap에서 해당 기능을 중복 사용하고 있지 않은지 확인하세요.

여러 URCap이 RTDE나 동일한 필드버스 리소스를 동시에 사용하지 않도록 각 URCap의 설정을 조정하거나, 필요 시 URCap을 하나씩 제거·재설치하여 충돌 원인을 확인하세요.

이러한 점검 후에도 문제가 지속되면, UR 공식 지원 포털에 로그와 함께 문의하는 것이 좋습니다."
UR5e의 0번 포트에서 아날로그 입력을 읽으려면 어떻게 하나요?,UR5e의 0번 포트는 아날로그 입력을 받을 수 있는 포트는 아닙니다. 이를 위해서는 다른 포트를 사용해야 합니다.,"UR5e의 0번 포트(아날로그 입력 AI0)에서 아날로그 값을 읽으려면, URScript에서 get_analog_input(0) 함수를 사용하면 됩니다. 이 함수는 현재 아날로그 입력값(기본적으로 0~10V 또는 4~20mA, 설정에 따라 다름)을 실시간으로 반환합니다.

예시:

python
analog_value = get_analog_input(0)
입력 신호 타입(전압/전류)은 PolyScope의 I/O 탭 또는 set_standard_analog_input_domain 명령어로 설정할 수 있습니다."
URScript에서 루프 내부에서 서브프로그램을 호출할 수 있나요?," 예, URScript는 서브프로그램을 호출하는 방법을 제공합니다. 루프 내부에서 다음과 같이 서브프로그램을 호출할 수 있습니다.

```python
begin
   ...
    call_program(""subprogram_name"");
   ...
end
```","URScript에서는 루프(for, while 등) 내부에서 서브프로그램(사용자 정의 함수, def로 정의한 함수)을 자유롭게 호출할 수 있습니다. 단, 서브프로그램의 이름을 변수에 저장하거나 동적으로 호출하는 기능은 없으므로, 호출할 함수명을 코드에 직접 명시해야 합니다.

예시:

python
def my_subprog():
    # 서브프로그램 내용
    popup(""서브프로그램 실행"")
end

for i in range(3):
    my_subprog()
end
이처럼 루프 내에서 서브프로그램을 반복적으로 호출하는 것이 가능합니다."
트리거가 1일 때 로봇을 뒤로 움직이게 하려면 어케함,"다음 코드를 사용하여 트리거가 1일 때 로봇을 뒤로 움직이게 할 수 있습니다.
```c++
void trigger1() {
  if (comm_pos_2) {
    move_to_point(pos_2, 0.5); // 0.5 : 속도
  }
}
```
이 코드에서는 `trigger1()`이라는 함수를 정의하고, `comm_pos_2`라는 변수가 `true`일 때, `pos_2` 위치로 로봇을 움직인다. `move_to_point()` 함수는 로봇이 지정된 위치로 이동하는 함수입니다. 이 함수는 속도 파라미터(`0.5`)를 받아 로봇의 이동 속도를 설정합니다.","트리거 신호가 1일 때 로봇을 뒤로 움직이려면, URScript에서 트리거 입력을 감지한 후 현재 TCP 위치를 기준으로 원하는 방향(예: 도구 좌표계의 -Z 방향)으로 상대 이동 명령을 실행하면 됩니다.

예시 코드:

python
if get_digital_input(0) == 1:  # 0번 디지털 입력이 트리거라고 가정
    pose_back = pose_trans(get_actual_tcp_pose(), p[0,0,-0.1,0,0,0])  # TCP 기준 10cm 뒤로
    movel(pose_back, a=1.2, v=0.25)
end
이렇게 하면 트리거가 1일 때 로봇이 현재 위치에서 도구 좌표계 기준으로 10cm 뒤로 이동합니다.
트리거 신호와 이동 방향, 거리 등은 실제 환경에 맞게 조정할 수 있습니다."
TCP 너무 높음 어떡함,"TCP 높이를 줄이기 위해 다음 단계를 따르세요.
1. Polyscope에서 TCP 절차즈를 탭합니다.
2. 새로운 TCP를 만드세요.
3. 원하는 TCP 모델을 선택하세요.
4. TCP 모델을 편집하고 TCP 높이를 줄이세요.
5. 변경 사항을 Polyscope에 저장하세요.
6. 생성한 TCP를 장비에 적용하세요.","TCP(Tool Center Point)이 너무 높게 설정되어 있다면, 아래와 같이 조치할 수 있습니다.

TCP 위치 재설정
PolyScope에서 [설치] > [TCP] 메뉴로 이동하여, 현재 TCP의 Z값(높이)을 실제 툴 끝단 위치에 맞게 수정하세요. TCP 위치는 툴 끝(작업점)과 플랜지(로봇 팔 끝)의 상대 좌표로 입력해야 하며, Z값이 실제보다 크면 TCP가 실제보다 높게 인식됩니다.

프로그램 내에서 임시로 조정
URScript에서는 set_tcp(p[x, y, z, rx, ry, rz]) 명령어로 TCP를 임시로 재설정할 수 있습니다. 예를 들어, Z값을 낮추려면 아래와 같이 입력합니다.

python
set_tcp(p[0, 0, 원하는_z값, 0, 0, 0])
안전 및 작업 범위 확인
TCP 위치가 잘못 설정되면 작업 범위, 충돌 감지, 안전 기능 등에 영향을 줄 수 있으니, 변경 후에는 반드시 로봇 동작을 천천히 테스트하여 안전을 확인하세요.

정확한 TCP 위치를 설정하는 것이 로봇 작업의 정밀도와 안전에 매우 중요합니다."
트리에서 노드를 모 찾겠어요???,"트리에서 특정 노드를 찾기 위해서는 트리의 루트에서부터 시작하여 원하는 노드가 있는 위치로 내려가면서 현재 노드와 비교하고, 원하는 노드를 발견하면 그 노드를 반환합니다. 이를 위해 트리의 구조와 노드 정보가 필요합니다.
예를 들어, 트리가 다음과 같이 구성되어 있다고 하면, 노드 2를 찾는 방법은 다음과 같습니다.

* 트리의 루트인 노드 0을 가져옵니다.
* 노드 0의 자식 노드인 노드 1을 가져옵니다.
* 노드 1의 자식 노드 중에서 원하는 노드인 노드 2를 비교하며 찾습니다.
* 찾은 노드 2를 반환합니다.","트리에서 특정 노드를 찾으려면, 일반적으로 루트 노드부터 시작해서 자식 노드를 따라가며 원하는 값을 가진 노드를 탐색해야 합니다.
이진 탐색 트리(BST)의 경우, 찾고자 하는 값이 현재 노드보다 작으면 왼쪽 자식으로, 크면 오른쪽 자식으로 재귀적으로 이동하며 탐색합니다.
트리 전체에서 값을 찾는다면 전위(preorder), 중위(inorder), 후위(postorder) 순회와 같은 트리 순회(traversal) 알고리즘을 사용할 수 있습니다.

예시(이진 탐색 트리에서 값 찾기, Python 형태):

python
def search(node, value):
    if node is None or node.data == value:
        return node
    if value < node.data:
        return search(node.left, value)
    else:
        return search(node.right, value)
이처럼 트리 구조와 노드의 값에 따라 적절한 탐색 방법을 선택하면 됩니다."
URCap 계속 꺼짐 설치도 안 됨,"URCap 설치가 되지 않는 경우, SDK 다운로드를 다시 해주거나, 설치 과정이 잘못되었다고 판단되는 경우에는 SDK 설치 방법을 찾아보고 다시 시도해주세요.","URCap이 계속 꺼지거나 설치가 되지 않는 경우, 아래와 같은 원인과 실무적인 해결 방법을 확인해보시기 바랍니다.

1. URCap 파일(자바 JAR, URCap 패키지) 호환성 확인
사용 중인 URCap이 현재 로봇 컨트롤러의 Polyscope 버전 및 소프트웨어(UR Software)와 호환되는지 반드시 확인하세요.

구버전 URCap을 최신 Polyscope에서 설치하면 정상 동작하지 않을 수 있습니다.

2. JDK 및 빌드 환경 확인
URCap은 Java 8(1.8)로 빌드되어야 하며, Java 11 이상으로 빌드된 URCap은 설치 및 실행이 불가합니다.

빌드 시 JDK 버전과 pom.xml 설정을 재확인하세요.

3. URCap 파일 손상 또는 구조 오류
URCap JAR 파일이 손상되었거나, 내부 구조(메타데이터, manifest 등)가 잘못된 경우 설치가 되지 않습니다.

파일을 다시 빌드하거나, 공식 배포본을 재다운로드해 설치해보세요.

4. 디스크 용량 및 권한 문제
로봇 컨트롤러의 디스크 용량이 부족하면 URCap 설치가 실패할 수 있습니다.

USB 메모리 등 외부 저장장치에서 직접 설치할 경우, 파일 시스템 호환성(FAT32 권장)과 권한 문제도 확인하세요.

5. 로그 확인
[설치] > [URCaps] 메뉴에서 설치 시 오류 메시지가 출력되면, 해당 메시지를 참고하세요.

/var/log/urcaps/ 또는 /var/log/messages 파일에서 자세한 에러 로그를 확인하면 원인 파악에 도움이 됩니다.

6. 기타 충돌 및 중복 문제
동일한 이름이나 버전의 URCap이 이미 설치되어 있으면 충돌이 발생할 수 있습니다. 기존 URCap을 삭제한 후 재설치해보세요.

여러 개의 URCap이 RTDE, 필드버스 등 동일 리소스를 동시에 사용할 때도 비정상 종료가 발생할 수 있습니다.

위 방법으로도 해결되지 않으면, 사용 중인 Polyscope 버전, URCap 버전, 설치 시 에러 메시지/로그 정보를 함께 첨부하여 UR 공식 지원에 문의하는 것이 가장 빠른 해결 방법입니다."
Polyscope 5.12에서 외부 TCP 보정을 사용할 수 있나요?,"아니요, Polyscope 5.12에서는 외부 TCP 보정이 지원되지 않습니다.
단, API에 의해 TCPModel을 사용하여 현재 사용 가능한 TCP의 정보를 가져올 수 있으며, TCPContributionModel을 사용하여 사용자에게 TCP 목록에 추가 할 수 있습니다.","PolyScope 5.12에서는 “외부 TCP(Remote TCP)” 보정 기능을 공식적으로 지원하지 않습니다.
URScript 5.12 매뉴얼을 보면, Remote TCP 및 관련 모듈(processpath 등)은 PolyScope 5.14 이후 버전에서 도입된 기능으로, 5.12에는 해당 API와 UI가 포함되어 있지 않습니다.
따라서 PolyScope 5.12 환경에서는 외부 TCP 보정 및 Remote TCP 기반의 경로 제어 기능을 사용할 수 없습니다.

외부 TCP(예: 공구가 아닌 워크피스가 움직이는 응용, 로봇이 고정된 툴을 따라가는 작업 등)가 필요하다면 PolyScope 5.14 이상으로 업그레이드해야 하며, 5.12에서는 표준 TCP 설정만 가능합니다."
로봇을 초기화하는 가장 좋은 방법은 무엇인가요?,"로봇을 초기화하려면 우선 로봇의 모든 웨이포인트를 설정하고 이동을 시작하여 로봇을 원하는 위치로 옮겨야 합니다. 그런 다음, 로봇에서 모든 센서와 기능을 재설정하고 로봇의 시리얼 번호를 재설정하여 로봇을 초기화할 수 있습니다. 이러한 과정을 자동화하기 위해서는 로봇의 소프트웨어 개발 킷(SDK)을 사용하며, 이를 통해 로봇의 초기화 과정을 자동화할 수 있습니다.","로봇을 초기화하는 가장 좋은 방법은 아래와 같은 표준 절차를 따르는 것입니다.

로봇 전원 켜기
컨트롤러와 Teach Pendant(펜던트)의 전원을 켭니다. PolyScope가 부팅되면 초기화 화면으로 이동합니다.

브레이크 해제 및 초기화
펜던트에서 ‘브레이크 해제’ 또는 ‘초기화’ 버튼을 눌러 각 관절의 브레이크를 해제하고, 모든 축이 정상 상태(OK)임을 확인합니다. 만약 로봇이 전원이 꺼진 상태에서 장애물 근처에 있었다면, 관절을 천천히 움직여 안전을 확보한 뒤 초기화하세요.

시스템 상태 확인
초기화가 완료되면, 메인 메뉴에서 시스템 상태를 확인하고 필요한 경우 프로그램을 로드해 실행할 수 있습니다.

외부 입력으로 초기화(자동화 필요 시)
Teach Pendant 없이 외부 버튼(DI 신호)이나 컨트롤 캐비닛의 ON/OFF 스위치를 이용해 초기화할 수도 있습니다. 이 경우, 전원 인가 → 브레이크 해제 → 프로그램 시작 순서로 신호를 전달해야 하며, 로봇 상태를 통신 포트 등으로 모니터링하는 것이 좋습니다.

URCap 또는 소프트웨어 업데이트 후
URCap 설치/제거, 소프트웨어 업데이트 등 시스템 변경 후에는 반드시 컨트롤러를 재시작하고, 초기화 절차를 다시 진행해야 합니다.

참고:

초기화 과정에서 관절에 이상이 있거나 장애물이 있을 경우, 각 축의 상태를 반드시 확인하고 수동 조작으로 안전을 확보하세요.

자동화 환경에서는 초기화 신호 흐름과 상태 피드백을 충분히 검증해야 합니다.

이 절차를 따르면 안전하고 신뢰성 있게 UR 로봇을 초기화할 수 있습니다."